	description	price	prime?	rating	url link
41	AWOW - Computer portatile con touchscreen da 13,3 pollici, 1920 x 1080 FHD touchscreen, Windows 10 Pro, 8 GB DDR4, 512 G SSD, IPX5, impermeabile, colore: Argento, Tastiera Americana	439,99	prime	5,0 su 5 stelle	/AWOW-portatile-touchscreen-impermeabile-Americana/dp/B08B1BH458?dchild=1
42	Beelink BT3 Pro II Mini PC Support Windows 10, Intel Atom x5-Z8350 Processor 4GB Ram 64GB Rom Graphics HD 400, 1000Mbps LAN MINI Computer con 5.8G+2.4G WiFi HDMI+VGA Outputs/Bluetooth 4.0/USB 3.0	149,99	prime	4,3 su 5 stelle	/SeeKool-x5-Z8350-Processor-Graphics-Bluetooth/dp/B07CQGRZKF?dchild=1
43	HP 255 G7 senza Sistema Operativo (FreeDOS)	no price available	not prime	4,2 su 5 stelle	No url Available
44	BIGMAC Computer portatile da 10 pollici Android 6.0 Quad core laptop mini netbook 8GB WIFI webcam Netflix YouTube google Flash ultra-sottile (Argento)	149,00	not prime	3,6 su 5 stelle	/BIGMAC-Computer-portatile-pollici-ultra-sottile/dp/B087R2121J?dchild=1
45	HP - PC 15-dw1016nl Notebook, Intel Core i7-10510U, RAM 8 GB, SSD 256 GB, NVIDIA GeForce MX130 2 GB, Windows 10 Home, HP Fast Charge, Lettore Micro SD, USB-C, HDMI, Webcam, RJ-45, Argento	899,99	prime	4,4 su 5 stelle	/HP-15-dw1016nl-Notebook-i7-10510U-GeForce/dp/B08BKTWDQQ?dchild=1
46	Mini PC,Intel Celeron J4125,8GB RAM+120GB ROM,Windows 10 Pro(64-bit),Supporto 2.5'' SATA SSD/HDD,Dual WiFi 2.4/5G, Bluetooth 4.2,4K HD,2 HDMI+1 VGA +USB 3.0 Porta AK3 Mini Computer Desktop	239,90	prime	3,7 su 5 stelle	/Celeron-Windows-Supporto-Bluetooth-Computer/dp/B089T4B234?dchild=1
47	"HP 255 G7 Notebook portatile, SSD M2 da 512GB, Display da 15.6"", Amd A6 3050U fino a 3,2 GHz, 8GB di RAM DDR4, Libre Office, Wi-fi, Dvd-Cd Rw, 3 usb, web cam, Win10 Pro, Pronto All'uso, Gar. Italia"	no price available	not prime	4,1 su 5 stelle	No url Available
0	Lenovo, Mini PC, Desktop Computer, ThinkCentre M93p USDT Tiny Intel Core i5 240GB SSD (NEU) Hard Disk 8GB memoria Win 10 Pro W-LAN 10AAA0PQ00 (ricondizionato)	232,00	not prime	4,3 su 5 stelle	/Lenovo-ThinkCentre-SSD-10AAA0PQ00-certificato/dp/B07L9T18SW?dchild=1
1	You Are Wanted - Season 2	no price available	not prime	no vote available	No url Available
2	"Acer Swift 3 SF314-42-R4XJ Computer Portatile Argento 35,6 cm (14"") 1920 x 1080 Pixel AMD Ryzen 7 8 GB LPDDR4-SDRAM 1000 GB SSD Wi-Fi 6 (802.11ax) Windows 10 Home Swift 3 SF314-42-R4XJ, AMD"	no price available	not prime	2,5 su 5 stelle	No url Available
3	"HP EliteBook 830 G5 1.60GHz i5-8250U Intel® Core™ i5 di ottava generazione 13.3"" 1920 x 1080Pixel Argento Computer portatile"	1.247,50	not prime	no vote available	/HP-EliteBook-generazione-1080Pixel-portatile/dp/B07C7YSXCC?dchild=1
4	KKshop Cuffie 3.5mm per Computer con Microfono, Cuffie Rumore Business Cancellare, Cuffie per PC Cellulare, Perfetto per Skype, Seminario Web, Chiamare, Call Center	19,59	not prime	4,8 su 5 stelle	/KKshop-Microfono-Cancellare-Cellulare-Seminario/dp/B08JPN89X4?dchild=1
5	"HP-PC Pavilion 14-ce3034nl Notebook, Intel Core i5-1035G1, RAM 8 GB, SSD 512 GB, Grafica UHD Intel, Windows 10 Home, Schermo 14"" FHD Antiriflesso, Lettore Impronte Digitali, Lettore Micro SD, Argento"	no price available	not prime	4,3 su 5 stelle	No url Available
6	PRIXTON Netbook PC11 Pro - Laptop portatile / Notebook Computer portatili con schermo da 11,6 pollici, Windows 10 Pro, processore Intel, 3GB RAM / 32GB / 512GB SSD, tastiera QWERTY spagnola	no price available	not prime	3,0 su 5 stelle	No url Available
7	Mini PC Beelink Gemini T34,Windows 10(64 bit) Computer desktop Intel Celeron N3450 RAM 8GB/128GB Support Dual System(Windows Ubuntu)/ SSD mSATA/Dual WiFi/BT 4.0	219,00	prime	4,5 su 5 stelle	/Beelink-PC%EF%BC%8CWindows-Computer-desktop-Celeron/dp/B07YTGYXCK?dchild=1
8	Bikien Supporto PC Portatile,Supporto per Laptop da Tavolo Pieghevole Regolabile con Raffreddamento,Supporto per Laptop Portatile In Alluminio Leggero per Macbook Air/Pro(Fino A 15,6 Pollici) Argento	16,99	not prime	5,0 su 5 stelle	/Bikien-Portatile-Pieghevole-Regolabile-Raffreddamento/dp/B08KY52S5V?dchild=1
9	"Nuovo Apple MacBook Air (13"", Processore Intel Core i3 dual‑core di decimo generazione a 1,1GHz, 8GB RAM, 256GB) - Oro"	1.099,00	prime	4,7 su 5 stelle	/Apple-Processore-Intel-Core-i3-dual%E2%80%91core-generazione/dp/B0863TK7TN?dchild=1
10	Xnuoyo TSA Friendly Laptop Zaino, 15.6 Pollici Resistente all'Acqua Zaino per Computer con Borsa Termostatica e Tasche RFID Daypack Casual per Scuola/Affari/Lavoro/Uomini/Donne	34,99	prime	4,4 su 5 stelle	/Xnuoyo-Friendly-Resistente-allAcqua-Termostatica/dp/B083VRKXGC?dchild=1
11	"MSI GF63 Thin 9SCXR-441IT, Notebook Gaming, 15,6"" FHD, Intel I5-9300H, 8GB RAM DDR4, 512GB SSD M.2 PCIe, Nvidia GTX 1650Max-Q, 4GB GDDR6 [Layout e Garanzia Italiane]"	949,99	prime	4,4 su 5 stelle	/MSI-9SCXR-441IT-Notebook-I5-9300H-1650Max-Q/dp/B08B8NVVBJ?dchild=1
12	Hp 255 G7 Notebook hp Display da 15.6” Fino A 2.60GHz,Ram 8Gb Ddr4 SSd M.2 256Gb,Radeon R3,Pc portatile Hp,Hdmi,DVD,Cd RW,Wi fi,Bluetooth,Windows 10 professional	no price available	not prime	4,1 su 5 stelle	No url Available
13	Cuffie per PC, cuffie USB per computer, cuffie da gioco con microfono a cancellazione del rumore e controllo del volume, call center cablato leggero, ultra confortevole, cuffie per computer e PC	20,99	not prime	4,8 su 5 stelle	/computer-microfono-cancellazione-controllo-confortevole/dp/B08LKV4SYT?dchild=1
14	PULSAR PC FISSO FAST SERIES VELOCE DESKTOP COMPUTER | INTEL QUAD CORE | RAM 16 GB | SSD 240 GB | DVD MASTERIZZATORE | HDMI | WI FI | FISSO COMPLETO ASSEMBLATO ATX 500W CON MICROSOFT WINDOWS 10	269,99	not prime	4,1 su 5 stelle	/PULSAR-COMPUTER-MASTERIZZATORE-ASSEMBLATO-OPERATIVO/dp/B01MYM5SZT?dchild=1
15	"BMAX S13a Portatile PC 13.3"" Windows 10 Notebook, Intel N3350 8GLPDDR4 +128G SSD, fino a 2.4 GHz, USB 3.0*2, BT 4.2, Fotocamera frontale,Tastiera americana QQWERTY"	259,99	not prime	3,6 su 5 stelle	/Portatile-Notebook-8GLPDDR4-Fotocamera-americana/dp/B08HMZPBCS?dchild=1
16	Bigmac Windows 10 Computer Portatile Mini 10.1 Pollici 32GB Ultra Sottile e Leggero Netbook Intel Quad Core CPU PC HDMI WiFi USB Netflix YouTube (Nero)	229,60	prime	3,1 su 5 stelle	/Bigmac-Windows-Computer-Portatile-Pollici/dp/B08DL56RNJ?dchild=1
17	"HP - PC Pavilion 15-cw1085nl Notebook, AMD Ryzen 5 3500U, RAM 8 GB, SSD 512 GB, Grafica AMD Radeon Vega 8, Windows 10 Home, Schermo 15.6"" FHD IPS, Lettore Micro SD, HDMI, USB-C, RJ-45, Webcam, Argento"	no price available	not prime	4,4 su 5 stelle	No url Available
18	"Acer Nitro 5 AN515-54-76WR - Computer portatile da gaming, 15,6"", FHD (Intel Core i7, 16 GB di RAM, SSD 1TB, RTX 2060, 6 GB, Windows 10)"	1.379,87	prime	4,3 su 5 stelle	No url Available
19	"HP OMEN 17-cb1075ng Computer Portatile Nero 43,9 cm (17.3"") 1920 x 1080 Pixel Intel® Core i7 di Decima Generazione 16 GB DDR4-SDRAM 1512 GB HDD+SSD NVIDIA GeForce RTX 2070 Super Wi-Fi 6 (802.11ax)"	2.156,80	prime	no vote available	No url Available
20	Il mio altro computer è il vostro computer portatile Maglietta	15,95	not prime	no vote available	/altro-computer-vostro-portatile-Maglietta/dp/B08HMXM2TJ?dchild=1
21	Space Valley	no price available	not prime	no vote available	No url Available
22	Huawei MateBook X Pro 2020 Laptop, Touchscreen FullView Ultrabook da 13.9 Pollici, Intel i7 10510U, 16 GB RAM, 1 TB SSD, NVIDIA GeForce MX250, Huawei Share, Windows 10 Home, Grigio	1.744,00	prime	3,5 su 5 stelle	/MateBook-Touchscreen-FullView-Ultrabook-Pollici/dp/B087RY7FFN?dchild=1
23	"Notebook Lenovo Display 15,6"" Full HD Antiglare /Cpu Amd Ryzen 3 R3-3250U Fino a 3,5GHz /Vga INTEL FHD 620 /SSD M2 Nvme 256G /Ram 4Gb DDR4 /web cam /3 usb hdmi Wi-fi bluetooth/Windows 10 Pro Edu"	461,32	not prime	4,0 su 5 stelle	/Notebook-Lenovo-Antiglare-R3-3250U-bluetooth/dp/B088P6CSD1?dchild=1
24	TECLAST X4 11.6 pollici 2 in 1 Touchscreen Laptop Surface Go con supporto regolabile 8 GB RAM 256 GB ROM SSD 1920 x 1080 Full HD IPS Intel N4100 Windows 10 Dual-Band WiFi Type-C (senza tastiera)	no price available	not prime	4,0 su 5 stelle	No url Available
25	"Computer portatile Acer Aspire 5 A515-44-R52A (15,6"") (nero)"	651,14	prime	3,4 su 5 stelle	/Computer-portatile-Acer-Aspire-A515-44-R52A/dp/B08B4NZC7R?dchild=1
26	"Microsoft Surface Laptop 3, 13"", Core i5, RAM 8 GB, SSD 256 GB, Nero"	1.398,99	prime	4,5 su 5 stelle	/Microsoft-Surface-Laptop-Core-Nero/dp/B07XVTHTC2?dchild=1
27	"ACEPC AK1 Mini PC,Windows 10(64 bit) Computer desktop Intel Celeron Apollo Lake J3455 (fino a 2,3GHz) Computer desktop[8GB/120GB/Supporto SSD da 2,5""/ SSD mSATA/Doppio WiFi/Gigabit Ethernet/BT 4.2/4K]"	249,90	prime	4,4 su 5 stelle	/ACEPC-AK1-Computer-Supporto-Ethernet/dp/B07SKGGGP7?dchild=1
28	USB a HDMI Adattatore, da USB 3.0/2.0 a HDMI 1080P Full HD (da Maschio a Femmina) Video e Audio Multi-Display Converter Supporto Laptop PC Proiettore HDTV TV Windows 10/8.1/8/7, XP	15,99	not prime	4,3 su 5 stelle	/Adattatore-Multi-Display-Converter-Supporto-Proiettore/dp/B08KR3D25N?dchild=1
29	XQXA Mochila de viaje para ordenador portátil con puerto de carga USB y puerto para auriculares, mochila para estudiantes de colegio y universidad, compatible con portátil de 15,6 pulgadas	17,99	not prime	4,7 su 5 stelle	/XQXA-portatile-auricolari-universit%C3%A0-portatili/dp/B089QS4WN6?dchild=1
30	"LENOVO Essential V145 Notebook 15,6"" HD (1366x768) Ram 4GB, SSD 256GB, CPU AMD A4, Radeon R3, WIFI Bluetooth Webcam Win 10 Integrato (256GB SSD)"	no price available	not prime	4,1 su 5 stelle	No url Available
31	Nella rete del serial killer	2,99	not prime	5,0 su 5 stelle	/gp/video/ssoredirect/?ru=https%3A%2F%2Fapp.primevideo.com%2Fdetail%3Fgti%3Damzn1.dv.gti.5ab6c977-b133-4f49-10fa-175e720cd19e%26ref_%3Ddvm_src_ret_it_xx_s&page-type-id=B07YNY5G7J&keywords=computer&ref=sr_1_128&sr=8-128
32	MSI Gaming 0017H3-045 Titan DT Computer Portatile Nero, Grigio Gaming GT76 10SGS-045 Titan DT, Nero, Grigio	6.180,91	prime	5,0 su 5 stelle	/MSI-0017H3-045-Computer-Portatile-10SGS-045/dp/B08C3YKC4C?dchild=1
33	Lemnoi Webcam Full HD 1080P con Microfono, Webcam Web USB 2.0/3.0 per PC, Webcam per Computer Plug And Play per videochiamate, Laptop, Facebook, Streaming Live, Youtube, Giochi e conferenze	15,99	not prime	3,8 su 5 stelle	/Lemnoi-Microfono-videochiamate-Streaming-conferenze/dp/B087CSZTNM?dchild=1
34	"MSI GL65 Leopard 10SFSK-297IT, Notebook Gaming, 15,6"" FHD 144Hz, Intel I7-10750H, Nvidia RTX 2070 Super 8GB GDDR6, 512GB SSD M.2 PCIe, 16GB RAM DDR4 2666MHz, Win 10 Home [Layout e Garanzia Italia]"	1.999,99	prime	4,8 su 5 stelle	/MSI-10SFSK-297IT-Notebook-I7-10750H-Garanzia/dp/B08C8Z4W4H?dchild=1
35	"ASUS ZenBook 14 UX434FLC-A5298T Blu Computer portatile 35,6 cm (14"") 1920 x 1080 Pixel Intel® Core? i7 di decima generazione 16 GB LPDDR3-SDRAM 512 GB SSD Windows 10 Home"	no price available	not prime	5,0 su 5 stelle	No url Available
36	"msi Gaming GS66 10SFS-056 Stealth Nero Computer Portatile 39,6 cm (15.6"") 1920 x 1080 Pixel Intel® Core i9 di Decima Generazione 16 GB DDR4-SDRAM 1000 GB SSD NVIDIA GeForce RTX 2070 Super Wi-Fi 6"	3.142,07	prime	3,6 su 5 stelle	/10SFS-056-Computer-Portatile-Generazione-DDR4-SDRAM/dp/B086N7LPMS?dchild=1
37	iClever Tastiera e Mouse Wireless - Tastiera Wireless Ricaricabile Design Ergonomico con Tastierino Numerico, Connessione Stabile 2.4G Tastiera e Mouse Sottile per Windows, Computer Mac OS, Bianco	35,99	prime	4,9 su 5 stelle	No url Available
38	Zaino per laptop da uomo, zaino da scuola da 15,6 pollici, zaino da trekking per il tempo libero	15,99	not prime	4,7 su 5 stelle	/laptop-scuola-pollici-trekking-libero/dp/B08GS213PH?dchild=1
39	"ASUS Laptop A509JB-EJ098T, Notebook con Monitor 15,6"" FHD Anti-Glare, Intel Core i7-1065G7, RAM 8GB DDR4, Grafica NVIDIA GeForce MX110, 512GB SSD PCIE, Windows 10 Home, Argento"	no price available	not prime	3,8 su 5 stelle	No url Available
40	"Lenovo IdeaPad Slim 1 Notebook, Display 14"" HD, Processore AMD A9-9420e, 128 GB SSD, RAM 4 GB, Windows 10, Ice Blue"	no price available	not prime	3,6 su 5 stelle	No url Available
41	"Hp 250 g7 Notebook Pc portatile intel core i3-1005G1, Ram 8Gb Ddr4,Ssd M.2 500 Gb ,Display 15.6""Hd antiriflesso,Windows 10 Professional"	no price available	not prime	4,3 su 5 stelle	No url Available
42	QueenDer Webcam HD 1080P USB PC Camera Plug And Play con Microfono Computer Videocamera con Clip Regolabile per Videochat Registrazione Conferenze Studio	24,04	not prime	3,5 su 5 stelle	/QueenDer-Videocamera-Regolabile-Registrazione-Conferenze/dp/B08K33FDFK?dchild=1
43	HP Elite 8300 – computer Desktop (Intel Core i7 – 3770, GB di RAM, disco SSD GB + GB HDD, lettore DVD, sistema operativo Windows 10 Pro è 64) – Nero (Ricondizionato)	243,90	not prime	4,4 su 5 stelle	/HP-computer-Desktop-operativo-Ricondizionato/dp/B07NGM8KPC?dchild=1
44	Dell Latitude E6400 Intel Core 2 Duo P8700 @2.53ghz 160GB HDD 4GB Ram 14.1'' (Ricondizionato)	169,99	not prime	4,5 su 5 stelle	/Dell-Latitude-E6400-2-53ghz-Ricondizionato/dp/B07YYKQ2D3?dchild=1
45	"ASUS TUF VR Ready Gaming Laptop, 15.6"" IPS FHD, AMD Ryzen 7-4800H Octa-Core 4.20 GHz, NVIDIA RTX 2060, 16GB RAM, 512GB SSD+1TB HDD, RGB Backlit KB, RJ-45 Ethernet, Win 10 QWERTY US Version"	1.230,45	not prime	no vote available	No url Available
46	Tastiera wireless - 2.4G Tastiera wireless ricaricabile Design ergonomico a grandezza naturale con tastierino numerico, connessione stabile Tastiera bianca sottile per Windows, computer Mac OS	32,99	prime	4,4 su 5 stelle	/Tastiera-wireless-ricaricabile-ergonomico-connessione/dp/B089K4HMXY?dchild=1
47	Singularity	no price available	not prime	3,8 su 5 stelle	No url Available
0	Tastiera wireless - 2.4G Tastiera wireless ricaricabile Design ergonomico a grandezza naturale con tastierino numerico, connessione stabile Tastiera bianca sottile per Windows, computer Mac OS	32,99	prime	4,4 su 5 stelle	/Tastiera-wireless-ricaricabile-ergonomico-connessione/dp/B089K4HMXY?dchild=1
1	Mini PC Beelink GK55 - Mini Computer Desktop Windows 10 Intel Celeron Gemini Lake J4125 con 8 GB di RAM + 256 GB SSD, Doppio Display HDMI 4K60Hz, Wi-Fi Dual-band e Gigabit Ethernet	289,90	prime	5,0 su 5 stelle	/Mini-PC-Beelink-GK55-Dual-band/dp/B08JGZ6LYY?dchild=1
2	Gaetooely 14 Pollici 1080P Laptop 2 GB di 32 GB EMMC Atom Z8350 Quad Core CPU 10 Sistema Computer Portatile (Spina Europea)	209,22	not prime	no vote available	/Gaetooely-Pollici-Sistema-Computer-Portatile/dp/B08CDT3RL6?dchild=1
3	Orkney - Zaino per computer portatile, unisex, impermeabile, antifurto, porta di ricarica USB, zaino da viaggio, lavoro, lavoro, ufficio	49,90	prime	5,0 su 5 stelle	/Orkney-computer-portatile-impermeabile-antifurto/dp/B08KY2V8FW?dchild=1
4	Mini PC Fanless Intel Celeron N4000 (up to 2.6GHz) 4GB DDR/64GB eMMC Mini Desktop Computer Windows 10 Pro HDMI and VGA Port 2.4/5.8G WiFi BT4.2 3xUSB3.0 Support Linux,NGFF 2242 SSD	149,99	prime	4,3 su 5 stelle	/Fanless-Celeron-Desktop-Computer-3xUSB3-0/dp/B082VVHXK6?dchild=1
5	"HP 340S G7 Argento Computer Portatile 35,6 cm (14"") 1366 x 768 Pixel Intel® Core™ i5 di Decima Generazione 8 GB DDR4-SDRAM 51"	756,90	not prime	no vote available	/HP-Computer-Portatile-Generazione-DDR4-SDRAM/dp/B0888D1DFP?dchild=1
6	Mouse Bluetooth Wireless Compatibile con Laptop/Macbook/iPad/iPhone (iOS 13.1.2 e successiva) PC Computer Android Mini Mouse Silenzioso Ricaricabile per Windows/Linux/Mac 3DPI Regolabile Bluetooth4.0	12,74	not prime	4,6 su 5 stelle	/Compatibile-successiva-Silenzioso-Ricaricabile-Bluetooth4-0/dp/B085H963P5?dchild=1
7	"Mobile Pixels Trio Max – Sistema di monitor portatile da 14"", per computer portatili, colore: nero"	281,31	prime	3,5 su 5 stelle	/Mobile-Pixels-Trio-Max-portatile/dp/B08FXQQ4SJ?dchild=1
8	Scrivania per laptop in bambù, vassoio da letto portatile regolabile per servire la colazione con cassetto superiore inclinabile	35,99	prime	4,4 su 5 stelle	/Nakey-pieghevole-regolabile-ventilazione-destrimani/dp/B07GSW34HF?dchild=1
9	"Notebook Pc Portatile Lenovo Led da 15.6"" / Cpu Amd A4 2.30GHz / Ram 4Gb Ddr4 / Ssd 256gb / Grafica Radeon R3 / Hdmi / Masterizzatore / Wi fi / Bluetooth / Office Open surce / Windows 10 professional"	no price available	not prime	3,9 su 5 stelle	No url Available
10	"ASUS ROG GA502DU-AL039T Nero Computer portatile 39,6 cm (15.6"") 1920 x 1080 Pixel AMD Ryzen 7 16 GB DDR4-SDRAM 512 GB SSD NVIDIA® GeForce® GTX 1660 Ti Wi-Fi 5 (802.11ac) Windows 10 Home"	1.190,40	not prime	5,0 su 5 stelle	/ASUS-ASUSTEK-GA502DU-AL039T-R7-3750H/dp/B07ZZ72F3S?dchild=1
11	PC RICONDIZIONATO DELL 7010 SFF Intel Core i5 3470 3.20Ghz/RAM 8GB/SSD 240GB/DVD+RW/LICENZA WIN 10 PRO MAR (Ricondizionato) )	161,90	not prime	4,5 su 5 stelle	/RICONDIZIONATO-3-20Ghz-LICENZA-Ricondizionato-Certificato/dp/B07H2GM4K5?dchild=1
12	"LG Gram 17Z90N, Display 17"" QHD 16:10 IPS, 2560x1600, Intel Core i7-1065G7, RAM 16GB DDR4, SSD 512GB, Thunderbolt3, Batteria 80Wh (Fino a 17 Ore), Win10 Home (64bit), Tastiera Italiana, Peso 1350g"	1.599,99	prime	4,6 su 5 stelle	/LG-Gram-17Z90N-Display-QHD/dp/B087MYZC8K?dchild=1
13	Eagle Eye	3,99	not prime	4,7 su 5 stelle	/gp/video/ssoredirect/?ru=https%3A%2F%2Fapp.primevideo.com%2Fdetail%3Fgti%3Damzn1.dv.gti.56ac3cf7-5cde-4390-1e0d-6e2cc7714e3c%26ref_%3Ddvm_src_ret_it_xx_s&page-type-id=B07WG4F29Q&keywords=computer&ref=sr_1_158&sr=8-158
14	Logitech K120 Tastiera Cablata Business per Windows/Linux, USB, Tasti ‎Silenziosi & B100 Mouse USB Cablato, 3 Pulsanti, Rilevamento Ottico, Ambidestro, PC/Mac/‎Laptop, ‎Nero	17,98	prime	4,6 su 5 stelle	/Logitech-Tastiera-%E2%80%8ESilenziosi-Rilevamento-Ambidestro/dp/B08KQXVMWW?dchild=1
15	"Apple MacBook Air Grigio Computer Portatile 33,8 cm (13.3"") 2560 x 1600 Pixel Intel® Core i3 di Decima Generazione 8 GB LPDDR4x-SDRAM 256 GB SSD Wi-Fi 5 (802.11ac) macOS Catalina MacBook"	no price available	not prime	4,6 su 5 stelle	No url Available
16	"Lenovo Legion Y540-15IRH Notebook Gaming, Display 15.6"" Full HD IPS, Processore Intel Core i7-9750HF, 256GB SSD + 1TB HDD, 2x8 GB RAM, Scheda Grafica NVIDIA GeForce RTX 2060, Nero (Raven Black)"	no price available	not prime	3,8 su 5 stelle	No url Available
17	Notebook Dell Latitude E5440 Core i5-4300U 8Gb 320Gb 14.1in DVDRW WEBCAM Windows 10 Professional (Ricondizionato)	439,99	not prime	4,5 su 5 stelle	/Notebook-Dell-Professional-Ricondizionato-Certificato/dp/B078HYHWF4?dchild=1
18	Seagate One Touch da 5 TB, unità disco esterna, argento, USB 3.0 per computer desktop, portatili e Mac, 1 anno a Mylio Create, 4 mesi al piano Adobe Creative Cloud Photography (STKC5000401)	no price available	not prime	no vote available	No url Available
19	Pc desktop intel i7 9700,Ram 16 Gb ddr4, Ssd m.2 256 Gb,Lettore masterizzatore, Windows 10 Pro, cpu 8 core, Computer i7,fisso assemblato cpu 4.70ghz in turbo, wifi desktop ssd completo	659,99	not prime	4,5 su 5 stelle	/desktop-Windows-assemblato-Computer-completo/dp/B0777M33QW?dchild=1
20	Lenovo - Computer portatile IdeaPad Slim HD grigio grigio 11''	no price available	not prime	4,1 su 5 stelle	No url Available
21	"Apple MacBook Pro 2.3GHz Intel Core i5 di settima generazione 13.3"" 2560 x 1600Pixel Grigio Computer portatile (Ricondizionato)"	999,00	not prime	4,4 su 5 stelle	/Apple-generazione-1600Pixel-portatile-Ricondizionato/dp/B078GX9R5W?dchild=1
22	"HP OMEN 17-cb1055ng Computer Portatile Nero 43,9 cm (17.3"") 1920 x 1080 Pixel Intel® Core i7 di Decima Generazione 16 GB DDR4-SDRAM 1512 GB HDD+SSD NVIDIA® GeForce RTX 2060 Wi-Fi 6 (802.11ax)"	1.805,80	prime	3,8 su 5 stelle	/HP-17-cb1055ng-Portatile-Generazione-DDR4-SDRAM/dp/B089361QBD?dchild=1
23	Jumper Mini PC, 4 GB DDR3 64 GB eMMC PC desktop Windows 10 - Mini computer 4k HD CPU Intel Celeron, connessione HDMI + VGA, USB 3.0 / dual band WLAN/Gigabit Ethernet / BT4.0	139,99	prime	4,2 su 5 stelle	/Jumper-Mini-DDR3-desktop-Windows/dp/B08G8K124T?dchild=1
24	COMPUTER FISSO INTEL CORE i7 QUAD CORE - RAM 16 GB - SSD 240 - HDD 1TB - SCHEDA VIDEO DEDICATA 4 GB - LICENZA ORIGINALE MICROSOFT WINDOWS 10 PRO - MASTERIZZATORE DVD - PC DESKTOP	579,00	prime	4,7 su 5 stelle	/COMPUTER-FISSO-INTEL-CORE-QUAD/dp/B088FX777X?dchild=1
25	"Acer Aspire 3 A315-56-582U Computer Portatile Nero 39,6 cm (15.6"") 1920 x 1080 Pixel Intel® Core i5 di Decima Generazione 8 GB DDR4-SDRAM 1000 GB SSD Wi-Fi 5 (802.11ac) Windows 10 Home"	882,39	prime	no vote available	/Acer-A315-56-582U-Portatile-Generazione-DDR4-SDRAM/dp/B0875CKBGH?dchild=1
26	Hard disk esterno portatile da 1 TB/2 TB - HDD esterno USB 3.0 per PC, Mac, laptop e Smart TV (2 TB, blu)	49,99	prime	1,0 su 5 stelle	/Hard-disk-esterno-portatile-TB/dp/B08JGFDL41?dchild=1
27	WisFox Set Tastiera e Mouse Senza Fili, 2.4GHz Silenzioso Slim Avanzato Combo Tastiera Mouse Wireless con Ricevitore Nano USB Tastiera Compatto per Tastiera e Mouse per Computer/PC/Laptop/Notebook	19,99	not prime	4,7 su 5 stelle	/WisFox-Tastiera-Silenzioso-Avanzato-Ricevitore/dp/B08688R247?dchild=1
28	"Notebook Pc Portatile Lenovo,Display da 15.6"",Cpu Amd A4 2.30GHz,Ram 8 Gb Ddr4,Ssd 256 Gb,Grafica Radeon R3, Hdmi,2x USB 3.0 ,Masterizzatore Dvd, Wi fi,Bluetooth,Open Office,Windows 10 professional"	no price available	not prime	4,6 su 5 stelle	No url Available
29	"ASUS VivoBook 15 S512JF-EJ029T Grigio 15.6"" FHD Intel® Core™ i5 di decima generazione 8 GB DDR4-SDRAM 512 GB SSD NVIDIA® GeForce® MX130 Wi-Fi 5 (802.11ac) Windows 10 Home tastiera retoilluminata"	899,00	not prime	no vote available	/ASUS-S512JF-EJ029T-generazione-DDR4-SDRAM-retoilluminata/dp/B08BJYVVCR?dchild=1
30	PC RICONDIZIONATO HP ELITE 8300 SFF INTEL CORE i7 3770 3,40Ghz/8GB/SSD 120GB/DVD/WIN 10 PRO (Ricondizionato) )	231,00	not prime	4,5 su 5 stelle	/RICONDIZIONATO-HP-ELITE-INTEL-Ricondizionato/dp/B07JNBKHSS?dchild=1
31	"MSI PRO 16 Flex 8GL-054EU Schermo Touch HD 15.6"",Intel Pentium Silver N4000.256GB M.2.4GB,Intel UHD Graphics 600 Series,Supporta la RJ45 a porta COM,VESA (STD 100 x 100 mm)"	424,99	prime	no vote available	/MSI-PRO-Flex-8GL-054EU-N4000-256GB/dp/B08CY3S367?dchild=1
32	Season 03	no price available	not prime	no vote available	No url Available
33	"Lenovo ThinkPad E15 Nero Computer Portatile 39,6 cm (15.6"") 1920 x 1080 Pixel Intel Core i7 di Decima Generazione 16 GB DDR4-SDRAM 512 GB SSD Windows 10 PRO ThinkPad E15, Intel Core, Tastiera QWERTZ"	no price available	not prime	5,0 su 5 stelle	No url Available
34	Inateck Custodia PC 15-15.6 Pollici Borsa per Laptop Chromebook, Notebook, Matebook, Ultrabook e Netbook HP/Acer/Dell/Lenovo/Sony/Toshiba, con Borsa per Accessori - Grigio	20,99	not prime	4,7 su 5 stelle	/Inateck-Custodia-Chromebook-Ultrabook-Accessori/dp/B08KFZQK6G?dchild=1
35	Lenovo ThinkPad X250 ULTRABOOK - 8 GB RAM - 500GB - MODULO SIM -WINDOWS 10 PROFESSIONAL (Ricondizionato) )	399,99	not prime	4,1 su 5 stelle	/Lenovo-ThinkPad-X250-ULTRABOOK-Ricondizionato/dp/B07NJ2BXDM?dchild=1
36	Babacom Supporto PC Portatile, Alluminio Ventilato Porta Notebook, Raffreddamento Regolabile Porta PC, Leggero Notebook Riser Compatibile con MacBook Air/pro, Huawei Matebook D/Altri 10-15.6” Tablet	18,99	not prime	4,6 su 5 stelle	/Babacom-Portatile-Alluminio-Ergonomico-Regolabile/dp/B07TBR2WYD?dchild=1
